Glasses,Hats,Eyes,Mouth,Shirt,Color,Background
standard,white mohawk,wink,standard,basketball,#959A99,#FD9DCB
standard,afro,wink,grinning,scarf,#D9BD9E,#E6CAAF
nerdy,brain,wink,open,basketball,#FFFFFF,#98CDCD
transparent,blue mohawk,sparkling,no expression,inmate,#F6C3DB,#F68A5C
nerdy,white mohawk,wink,open,hoodie,#FFFFFF,#FAE74B
standard,white mohawk,angry,yawn,inmate,#FFFFFF,#98CDCD
nerdy,santa hat,standard,open,scarf,#181B2B,#EE2840
plastic,afro,angry,grinning,t-shirt,#181B2B,#B5B3DA
transparent,santa hat,wink,smoking,overalls,#C62B3E,#E6CAAF
standard,white mohawk,closed,fish,hawaiian3,#D9BD9E,#98CDCD
plastic,red mohawk,closed,open,hoodie,#C62B3E,#E6CAAF
nerdy,santa hat,closed,standard,t-shirt,#F6C3DB,#E6CAAF
shiny,snowhat,dizzy,yawn,hawaiian1,#181B2B,#B5B3DA
transparent,white mohawk,wink,no expression,scarf,#F6C3DB,#EE2840
transparent,fishing hat,dizzy,no expression,collared,#959A99,#F68A5C
nerdy,standard,standard,grinning,basketball,#FFFFFF,#E6CAAF
nerdy,sausage,dizzy,no expression,tattoos,#387DDC,#F68A5C
standard,snowhat,closed,no expression,standard,#181B2B,#EE2840
transparent,baseball,wink,yawn,collared,#D9BD9E,#98CDCD
nerdy,bennett,closed,open,collared,#FFFFFF,#98CDCD
cool pink,aviator,standard,standard,punk,#FFFFFF,#B5B3DA
nerdy,aviator,closed,smoking,collared,#D9BD9E,#F68A5C
shiny,white mohawk,dizzy,yawn,overalls,#FFFFFF,#E6CAAF
shiny,white mohawk,sparkling,yawn,hawaiian3,#C62B3E,#E6CAAF
cool pink,standard,angry,smoking,hawaiian3,#F6C3DB,#EE2840
standard,aviator,closed,smoking,hawaiian3,#F6C3DB,#F68A5C
vintage red,poop,closed,open,tattoos,#387DDC,#98CDCD
standard,afro,closed,yawn,t-shirt,#959A99,#EE2840
nerdy,standard,angry,standard,scarf,#FFFFFF,#F68A5C
transparent,sausage,angry,grinning,overalls,#FFFFFF,#98CDCD
transparent,afro,angry,no expression,hoodie,#387DDC,#98CDCD
shiny,snowhat,wink,standard,scarf,#FFFFFF,#EE2840
transparent,baseball,angry,no expression,t-shirt,#F6C3DB,#98CDCD
standard,snowhat,dizzy,smoking,overalls,#181B2B,#F68A5C
vintage red,afro,wink,standard,hoodie,#F6C3DB,#FD9DCB
cool pink,bucket hat,sparkling,open,punk,#D9BD9E,#98CDCD
nerdy,blue mohawk,standard,standard,basketball,#181B2B,#E6CAAF
nerdy,aviator,angry,standard,t-shirt,#F6C3DB,#E6CAAF
plastic,baseball,angry,smoking,collared,#D9BD9E,#E6CAAF
transparent,blue mohawk,closed,open,hoodie,#FFFFFF,#F68A5C
nerdy,bennett,sparkling,no expression,basketball,#FFFFFF,#E6CAAF
nerdy,poop,sparkling,yawn,overalls,#181B2B,#FD9DCB
standard,aviator,closed,standard,hawaiian1,#F6C3DB,#F68A5C
nerdy,afro,sparkling,yawn,hoodie,#959A99,#FAE74B
shiny,snowhat,dizzy,standard,scarf,#D9BD9E,#F68A5C
plastic,bucket hat,sparkling,open,hoodie,#FFFFFF,#FD9DCB
plastic,standard,sparkling,standard,collared,#181B2B,#E6CAAF
transparent,bucket hat,closed,standard,hoodie,#D9BD9E,#FD9DCB
vintage yellow,aviator,wink,standard,t-shirt,#959A99,#98CDCD
standard,standard,closed,standard,basketball,#FFFFFF,#E6CAAF
cool pink,afro,dizzy,open,hawaiian3,#959A99,#E6CAAF
nerdy,snowhat,wink,standard,tattoos,#FFFFFF,#98CDCD
nerdy,standard,angry,smoking,hawaiian2,#C62B3E,#EE2840
plastic,snowhat,sparkling,smoking,collared,#F6C3DB,#E6CAAF
nerdy,baseball,standard,yawn,hawaiian3,#959A99,#E6CAAF
transparent,snowhat,standard,standard,hoodie,#FFFFFF,#FAE74B
nerdy,fishing hat,wink,grinning,overalls,#181B2B,#E6CAAF
standard,bucket hat,dizzy,open,t-shirt,#387DDC,#E6CAAF
transparent,green mohawk,wink,standard,basketball,#959A99,#98CDCD
shiny,blue mohawk,closed,grinning,hoodie,#FFFFFF,#FAE74B
transparent,standard,closed,grinning,collared,#F6C3DB,#FD9DCB
standard,snowhat,standard,standard,basketball,#FFFFFF,#EE2840
transparent,standard,standard,grinning,scarf,#FFFFFF,#FD9DCB
shiny,snowhat,standard,yawn,scarf,#D9BD9E,#E6CAAF
standard,poop,standard,grinning,hawaiian2,#FFFFFF,#E6CAAF
nerdy,standard,angry,smoking,basketball,#959A99,#FD9DCB
transparent,standard,wink,no expression,scarf,#FFFFFF,#B5B3DA
cool pink,poop,standard,grinning,hawaiian2,#C62B3E,#FD9DCB
vintage yellow,ribs,wink,standard,inmate,#387DDC,#FAE74B
vintage yellow,standard,dizzy,no expression,inmate,#D9BD9E,#FD9DCB
vintage red,ribs,wink,fish,hawaiian2,#181B2B,#FAE74B
nerdy,sausage,closed,no expression,overalls,#F6C3DB,#98CDCD
shiny,bucket hat,standard,standard,hoodie,#181B2B,#FD9DCB
standard,white mohawk,wink,smoking,hoodie,#C62B3E,#E6CAAF
transparent,blue mohawk,standard,standard,basketball,#387DDC,#E6CAAF
vintage red,santa hat,angry,smoking,hoodie,#F6C3DB,#98CDCD
transparent,snowhat,closed,standard,basketball,#959A99,#E6CAAF
standard,green mohawk,dizzy,standard,hawaiian2,#FFFFFF,#FD9DCB
transparent,white mohawk,standard,no expression,tattoos,#C62B3E,#E6CAAF
standard,ribs,standard,no expression,hawaiian1,#181B2B,#98CDCD
nerdy,bennett,standard,standard,overalls,#387DDC,#FD9DCB
transparent,snowhat,sparkling,standard,inmate,#959A99,#F68A5C
shiny,bennett,standard,standard,basketball,#C62B3E,#B5B3DA
nerdy,blue mohawk,dizzy,grinning,scarf,#959A99,#E6CAAF
nerdy,bucket hat,angry,open,punk,#F6C3DB,#E6CAAF
cool gold,white mohawk,wink,standard,tattoos,#959A99,#E6CAAF
standard,bucket hat,sparkling,smoking,t-shirt,#F6C3DB,#FD9DCB
shiny,snowhat,dizzy,no expression,hawaiian3,#C62B3E,#E6CAAF
vintage red,poop,angry,standard,scarf,#181B2B,#B5B3DA
standard,bucket hat,sparkling,grinning,punk,#D9BD9E,#98CDCD
transparent,bucket hat,closed,no expression,overalls,#959A99,#98CDCD
transparent,baseball,standard,smoking,overalls,#C62B3E,#F68A5C
nerdy,baseball,closed,no expression,collared,#FFFFFF,#E6CAAF
nerdy,bucket hat,wink,standard,scarf,#F6C3DB,#FD9DCB
plastic,afro,closed,standard,t-shirt,#FFFFFF,#98CDCD
transparent,afro,angry,open,tattoos,#D9BD9E,#F68A5C
nerdy,ribs,standard,fish,punk,#959A99,#E6CAAF
nerdy,standard,standard,yawn,t-shirt,#387DDC,#FD9DCB
nerdy,fishing hat,standard,no expression,basketball,#959A99,#98CDCD
plastic,aviator,closed,grinning,basketball,#387DDC,#FD9DCB
transparent,poop,angry,yawn,punk,#C62B3E,#E6CAAF
plastic,white mohawk,angry,no expression,scarf,#181B2B,#98CDCD
shiny,sausage,sparkling,grinning,tattoos,#F6C3DB,#98CDCD
cool gold,standard,closed,open,basketball,#F6C3DB,#B5B3DA
transparent,blue mohawk,standard,yawn,t-shirt,#181B2B,#FD9DCB
transparent,red mohawk,angry,yawn,scarf,#FFFFFF,#EE2840
cool gold,baseball,dizzy,no expression,inmate,#D9BD9E,#FAE74B
nerdy,snowhat,standard,standard,basketball,#F6C3DB,#B5B3DA
plastic,bennett,sparkling,yawn,inmate,#FFFFFF,#B5B3DA
standard,fishing hat,closed,smoking,tattoos,#FFFFFF,#98CDCD
standard,aviator,angry,open,basketball,#D9BD9E,#E6CAAF
nerdy,white mohawk,standard,open,basketball,#181B2B,#F68A5C
plastic,snowhat,closed,standard,punk,#F6C3DB,#F68A5C
nerdy,white mohawk,angry,grinning,hawaiian3,#959A99,#FAE74B
shiny,fishing hat,closed,no expression,hoodie,#F6C3DB,#F68A5C
shiny,aviator,closed,open,t-shirt,#959A99,#F68A5C
standard,snowhat,closed,standard,overalls,#959A99,#E6CAAF
shiny,bennett,wink,open,hawaiian3,#FFFFFF,#98CDCD
nerdy,bucket hat,standard,grinning,overalls,#181B2B,#98CDCD
vintage yellow,bucket hat,closed,grinning,overalls,#387DDC,#B5B3DA
plastic,bucket hat,dizzy,open,hoodie,#FFFFFF,#E6CAAF
nerdy,red mohawk,closed,no expression,scarf,#FFFFFF,#98CDCD
nerdy,afro,standard,standard,collared,#181B2B,#EE2840
plastic,white mohawk,dizzy,smoking,tattoos,#F6C3DB,#EE2840
standard,bennett,angry,standard,hawaiian3,#FFFFFF,#B5B3DA
standard,afro,sparkling,standard,hoodie,#FFFFFF,#FAE74B
transparent,afro,wink,yawn,scarf,#D9BD9E,#FAE74B
nerdy,snowhat,standard,standard,hoodie,#FFFFFF,#E6CAAF
nerdy,baseball,closed,smoking,t-shirt,#959A99,#EE2840
vintage red,bucket hat,closed,open,hawaiian2,#181B2B,#F68A5C
nerdy,snowhat,wink,smoking,inmate,#FFFFFF,#B5B3DA
nerdy,snowhat,sparkling,open,t-shirt,#C62B3E,#B5B3DA
transparent,poop,angry,open,overalls,#FFFFFF,#FAE74B
transparent,afro,angry,open,tattoos,#D9BD9E,#98CDCD
nerdy,red mohawk,wink,grinning,hawaiian3,#959A99,#EE2840
shiny,fishing hat,wink,no expression,hawaiian2,#FFFFFF,#98CDCD
standard,aviator,standard,fish,overalls,#F6C3DB,#E6CAAF
standard,snowhat,angry,smoking,hawaiian1,#FFFFFF,#EE2840
standard,snowhat,wink,standard,inmate,#387DDC,#EE2840
vintage red,white mohawk,standard,grinning,t-shirt,#959A99,#EE2840
nerdy,blue mohawk,standard,standard,inmate,#D9BD9E,#E6CAAF
plastic,bucket hat,wink,smoking,basketball,#FFFFFF,#FD9DCB
nerdy,green mohawk,dizzy,yawn,hawaiian2,#959A99,#FD9DCB
standard,snowhat,dizzy,grinning,hawaiian2,#181B2B,#B5B3DA
nerdy,bucket hat,closed,yawn,hawaiian3,#F6C3DB,#98CDCD
nerdy,afro,closed,open,collared,#FFFFFF,#F68A5C
transparent,bucket hat,standard,smoking,overalls,#D9BD9E,#98CDCD
plastic,baseball,angry,yawn,hawaiian2,#F6C3DB,#E6CAAF
shiny,green mohawk,sparkling,fish,t-shirt,#FFFFFF,#F68A5C
shiny,white mohawk,angry,grinning,hoodie,#FFFFFF,#FD9DCB
cool gold,santa hat,angry,grinning,hoodie,#FFFFFF,#E6CAAF
standard,green mohawk,standard,grinning,overalls,#D9BD9E,#98CDCD
nerdy,white mohawk,closed,fish,collared,#D9BD9E,#FD9DCB
transparent,snowhat,closed,fish,standard,#F6C3DB,#F68A5C
nerdy,green mohawk,angry,no expression,t-shirt,#FFFFFF,#E6CAAF
plastic,snowhat,wink,open,scarf,#F6C3DB,#F68A5C
nerdy,blue mohawk,standard,smoking,hawaiian1,#F6C3DB,#E6CAAF
nerdy,white mohawk,standard,grinning,hoodie,#F6C3DB,#F68A5C
transparent,white mohawk,wink,standard,punk,#181B2B,#F68A5C
standard,fishing hat,standard,no expression,tattoos,#FFFFFF,#EE2840
standard,bennett,angry,standard,collared,#387DDC,#B5B3DA
plastic,snowhat,standard,standard,inmate,#959A99,#F68A5C
transparent,green mohawk,angry,fish,collared,#F6C3DB,#F68A5C
cool pink,ribs,wink,standard,hawaiian1,#959A99,#B5B3DA
nerdy,blue mohawk,dizzy,yawn,hawaiian2,#FFFFFF,#FD9DCB
cool pink,sausage,sparkling,no expression,collared,#F6C3DB,#EE2840
standard,afro,closed,smoking,standard,#FFFFFF,#FD9DCB
standard,blue mohawk,closed,open,overalls,#FFFFFF,#EE2840
cool pink,afro,wink,smoking,overalls,#181B2B,#F68A5C
cool pink,standard,angry,grinning,tattoos,#181B2B,#B5B3DA
shiny,blue mohawk,sparkling,smoking,inmate,#181B2B,#EE2840
cool gold,green mohawk,closed,smoking,hoodie,#FFFFFF,#B5B3DA
standard,white mohawk,standard,open,collared,#F6C3DB,#E6CAAF
standard,red mohawk,wink,grinning,t-shirt,#387DDC,#FAE74B
nerdy,white mohawk,standard,yawn,hawaiian1,#FFFFFF,#EE2840
standard,afro,standard,no expression,t-shirt,#FFFFFF,#98CDCD
nerdy,sausage,standard,standard,punk,#F6C3DB,#F68A5C
vintage yellow,green mohawk,sparkling,grinning,tattoos,#FFFFFF,#E6CAAF
shiny,fishing hat,sparkling,yawn,standard,#959A99,#EE2840
plastic,white mohawk,standard,standard,collared,#C62B3E,#E6CAAF
shiny,aviator,wink,standard,overalls,#F6C3DB,#FD9DCB
cool pink,afro,standard,no expression,punk,#F6C3DB,#F68A5C
shiny,bennett,closed,no expression,t-shirt,#959A99,#B5B3DA
cool gold,snowhat,standard,grinning,overalls,#F6C3DB,#B5B3DA
shiny,white mohawk,angry,yawn,scarf,#387DDC,#E6CAAF
standard,aviator,closed,open,t-shirt,#FFFFFF,#EE2840
cool gold,afro,sparkling,open,hawaiian1,#F6C3DB,#98CDCD
transparent,blue mohawk,wink,smoking,scarf,#C62B3E,#FD9DCB
standard,brain,angry,smoking,basketball,#959A99,#E6CAAF
standard,bennett,dizzy,no expression,collared,#181B2B,#F68A5C
vintage yellow,white mohawk,wink,no expression,hawaiian1,#387DDC,#E6CAAF
transparent,white mohawk,standard,grinning,inmate,#D9BD9E,#F68A5C
standard,ribs,wink,standard,inmate,#FFFFFF,#E6CAAF
cool gold,sausage,angry,open,t-shirt,#181B2B,#F68A5C
cool pink,snowhat,sparkling,yawn,scarf,#D9BD9E,#B5B3DA
nerdy,bennett,angry,standard,hawaiian3,#D9BD9E,#98CDCD
nerdy,bennett,closed,yawn,hawaiian3,#FFFFFF,#B5B3DA
standard,bennett,standard,no expression,basketball,#F6C3DB,#B5B3DA
vintage red,ribs,wink,grinning,basketball,#FFFFFF,#B5B3DA
nerdy,green mohawk,closed,no expression,inmate,#FFFFFF,#98CDCD
standard,fishing hat,wink,standard,basketball,#FFFFFF,#F68A5C
nerdy,green mohawk,angry,standard,hawaiian2,#D9BD9E,#E6CAAF
standard,snowhat,dizzy,standard,collared,#D9BD9E,#F68A5C
standard,afro,angry,standard,t-shirt,#D9BD9E,#F68A5C
nerdy,snowhat,standard,grinning,collared,#D9BD9E,#EE2840
transparent,snowhat,sparkling,open,overalls,#F6C3DB,#F68A5C
nerdy,aviator,closed,open,t-shirt,#181B2B,#EE2840
shiny,fishing hat,wink,fish,hawaiian2,#FFFFFF,#F68A5C
transparent,blue mohawk,closed,grinning,hoodie,#FFFFFF,#E6CAAF
shiny,aviator,standard,grinning,hoodie,#FFFFFF,#F68A5C
nerdy,white mohawk,closed,smoking,collared,#D9BD9E,#98CDCD
standard,white mohawk,wink,standard,collared,#D9BD9E,#FD9DCB
shiny,bucket hat,sparkling,open,hawaiian2,#959A99,#98CDCD
cool gold,standard,standard,yawn,punk,#FFFFFF,#F68A5C
cool pink,aviator,wink,standard,hawaiian1,#F6C3DB,#FD9DCB
standard,white mohawk,standard,smoking,basketball,#F6C3DB,#FD9DCB
standard,snowhat,closed,open,collared,#FFFFFF,#FAE74B
transparent,green mohawk,standard,open,collared,#959A99,#FAE74B
cool gold,green mohawk,closed,yawn,punk,#F6C3DB,#E6CAAF
standard,baseball,standard,no expression,basketball,#F6C3DB,#EE2840
plastic,fishing hat,angry,yawn,hawaiian2,#FFFFFF,#B5B3DA
plastic,afro,angry,yawn,tattoos,#F6C3DB,#FAE74B
vintage red,ribs,wink,standard,t-shirt,#F6C3DB,#B5B3DA
nerdy,bucket hat,closed,standard,overalls,#959A99,#FD9DCB
shiny,aviator,standard,standard,collared,#959A99,#F68A5C
nerdy,baseball,closed,standard,hawaiian2,#FFFFFF,#F68A5C
vintage red,afro,sparkling,yawn,t-shirt,#C62B3E,#E6CAAF
nerdy,green mohawk,wink,no expression,hoodie,#F6C3DB,#B5B3DA
transparent,bennett,dizzy,smoking,scarf,#959A99,#B5B3DA
standard,bucket hat,standard,no expression,hawaiian3,#FFFFFF,#FD9DCB
standard,green mohawk,wink,yawn,hawaiian3,#FFFFFF,#FD9DCB
standard,afro,wink,standard,basketball,#F6C3DB,#B5B3DA
cool gold,green mohawk,wink,standard,scarf,#FFFFFF,#B5B3DA
cool gold,standard,standard,yawn,scarf,#959A99,#B5B3DA
transparent,poop,standard,smoking,t-shirt,#C62B3E,#B5B3DA
standard,ribs,closed,no expression,hawaiian2,#387DDC,#E6CAAF
nerdy,snowhat,standard,smoking,t-shirt,#181B2B,#B5B3DA
transparent,bennett,standard,grinning,scarf,#959A99,#F68A5C
plastic,ribs,standard,fish,tattoos,#181B2B,#EE2840
nerdy,white mohawk,dizzy,grinning,scarf,#C62B3E,#B5B3DA
transparent,afro,wink,standard,basketball,#F6C3DB,#FD9DCB
vintage yellow,white mohawk,closed,no expression,basketball,#D9BD9E,#F68A5C
standard,snowhat,closed,open,collared,#C62B3E,#FAE74B
cool pink,bucket hat,closed,standard,hawaiian3,#FFFFFF,#98CDCD
standard,standard,standard,standard,inmate,#959A99,#FD9DCB
vintage red,afro,wink,no expression,hawaiian1,#FFFFFF,#B5B3DA
transparent,snowhat,standard,no expression,inmate,#FFFFFF,#E6CAAF
transparent,aviator,standard,grinning,collared,#959A99,#EE2840
plastic,poop,dizzy,standard,hoodie,#FFFFFF,#FD9DCB
vintage red,snowhat,closed,smoking,hoodie,#D9BD9E,#FD9DCB
standard,aviator,wink,no expression,basketball,#181B2B,#F68A5C
transparent,snowhat,standard,open,t-shirt,#387DDC,#EE2840
standard,fishing hat,sparkling,standard,collared,#959A99,#F68A5C
standard,santa hat,wink,standard,collared,#D9BD9E,#B5B3DA
shiny,baseball,standard,open,hoodie,#FFFFFF,#FD9DCB
nerdy,red mohawk,standard,open,punk,#959A99,#F68A5C
nerdy,blue mohawk,standard,smoking,basketball,#181B2B,#B5B3DA
nerdy,aviator,angry,standard,hawaiian2,#FFFFFF,#FAE74B
shiny,standard,closed,standard,hawaiian3,#387DDC,#B5B3DA
shiny,white mohawk,angry,smoking,collared,#D9BD9E,#FD9DCB
standard,bucket hat,angry,grinning,t-shirt,#D9BD9E,#B5B3DA
cool gold,white mohawk,closed,open,punk,#959A99,#FAE74B
plastic,snowhat,dizzy,open,standard,#181B2B,#FAE74B
vintage yellow,ribs,standard,standard,hoodie,#FFFFFF,#B5B3DA
cool pink,bennett,sparkling,standard,hawaiian2,#959A99,#FD9DCB
nerdy,white mohawk,sparkling,yawn,hawaiian1,#F6C3DB,#FD9DCB
transparent,poop,closed,open,hawaiian3,#D9BD9E,#B5B3DA
standard,bennett,angry,smoking,overalls,#C62B3E,#98CDCD
transparent,standard,closed,no expression,overalls,#181B2B,#F68A5C
plastic,green mohawk,wink,standard,hoodie,#FFFFFF,#EE2840
transparent,afro,dizzy,yawn,scarf,#181B2B,#FD9DCB
shiny,white mohawk,dizzy,standard,basketball,#181B2B,#FD9DCB
nerdy,baseball,angry,no expression,inmate,#C62B3E,#E6CAAF
cool gold,white mohawk,angry,no expression,t-shirt,#959A99,#FAE74B
nerdy,snowhat,wink,yawn,collared,#959A99,#98CDCD
vintage yellow,santa hat,wink,no expression,basketball,#181B2B,#B5B3DA
standard,brain,wink,yawn,basketball,#FFFFFF,#FAE74B
standard,blue mohawk,closed,fish,t-shirt,#F6C3DB,#E6CAAF
nerdy,ribs,angry,open,inmate,#C62B3E,#F68A5C
vintage yellow,green mohawk,dizzy,no expression,tattoos,#C62B3E,#E6CAAF
vintage yellow,santa hat,sparkling,standard,hawaiian1,#D9BD9E,#B5B3DA
plastic,snowhat,wink,no expression,basketball,#FFFFFF,#E6CAAF
standard,brain,wink,yawn,hawaiian2,#181B2B,#FAE74B
nerdy,aviator,closed,fish,basketball,#F6C3DB,#E6CAAF
standard,afro,angry,fish,hawaiian3,#959A99,#98CDCD
plastic,afro,standard,grinning,hoodie,#D9BD9E,#FD9DCB
transparent,aviator,standard,no expression,standard,#959A99,#E6CAAF
standard,fishing hat,sparkling,no expression,scarf,#FFFFFF,#FAE74B
standard,afro,standard,smoking,t-shirt,#F6C3DB,#F68A5C
cool pink,green mohawk,closed,grinning,collared,#959A99,#FD9DCB
cool pink,poop,standard,grinning,standard,#F6C3DB,#E6CAAF
plastic,poop,standard,smoking,overalls,#181B2B,#E6CAAF
nerdy,snowhat,angry,open,hawaiian3,#959A99,#FAE74B
cool pink,snowhat,standard,smoking,t-shirt,#D9BD9E,#F68A5C
standard,bucket hat,standard,standard,scarf,#F6C3DB,#FD9DCB
transparent,aviator,closed,no expression,overalls,#181B2B,#98CDCD
cool pink,baseball,standard,no expression,hawaiian2,#181B2B,#B5B3DA
cool pink,white mohawk,wink,yawn,overalls,#FFFFFF,#E6CAAF
transparent,white mohawk,angry,yawn,basketball,#959A99,#98CDCD
shiny,white mohawk,wink,yawn,hawaiian2,#C62B3E,#98CDCD
standard,baseball,wink,smoking,overalls,#959A99,#E6CAAF
standard,ribs,sparkling,yawn,standard,#D9BD9E,#F68A5C
nerdy,afro,closed,no expression,collared,#181B2B,#EE2840
plastic,white mohawk,angry,standard,hoodie,#959A99,#EE2840
transparent,standard,angry,standard,scarf,#D9BD9E,#FAE74B
cool pink,bucket hat,standard,no expression,hawaiian3,#F6C3DB,#EE2840
cool gold,afro,standard,standard,t-shirt,#D9BD9E,#F68A5C
cool pink,aviator,closed,standard,hawaiian3,#181B2B,#F68A5C
standard,red mohawk,angry,standard,hawaiian2,#D9BD9E,#FAE74B
standard,green mohawk,sparkling,yawn,overalls,#FFFFFF,#E6CAAF
cool pink,ribs,sparkling,open,t-shirt,#FFFFFF,#EE2840
transparent,white mohawk,closed,smoking,hawaiian2,#F6C3DB,#98CDCD
shiny,brain,standard,open,punk,#181B2B,#B5B3DA
nerdy,santa hat,closed,grinning,basketball,#FFFFFF,#EE2840
vintage yellow,white mohawk,standard,standard,t-shirt,#D9BD9E,#B5B3DA
transparent,bucket hat,wink,standard,punk,#FFFFFF,#EE2840
shiny,white mohawk,closed,no expression,collared,#959A99,#FAE74B
vintage red,bucket hat,standard,standard,collared,#387DDC,#E6CAAF
standard,baseball,sparkling,no expression,overalls,#FFFFFF,#FD9DCB
